Time (year),co2 (ppm)
2711.5,655.4927368164062
2712.5,655.4450073242188
2713.5,655.3938598632812
2714.5,655.348876953125
2715.5,655.2991943359375
2716.5,655.2481079101562
2717.5,655.200927734375
2718.5,655.1526489257812
2719.5,655.1099853515625
2720.5,655.06689453125
2721.5,655.0181884765625
2722.5,654.9701538085938
2723.5,654.9278564453125
2724.5,654.8798217773438
2725.5,654.8308715820312
2726.5,654.78662109375
2727.5,654.7413330078125
2728.5,654.6957397460938
2729.5,654.6582641601562
2730.5,654.61083984375
2731.5,654.5728149414062
2732.5,654.5416259765625
2733.5,654.4968872070312
2734.5,654.4630737304688
2735.5,654.4219970703125
2736.5,654.3848266601562
2737.5,654.3355102539062
2738.5,654.3113403320312
2739.5,654.271728515625
2740.5,654.2406005859375
2741.5,654.1918334960938
2742.5,654.1514892578125
2743.5,654.1088256835938
2744.5,654.0822143554688
2745.5,654.0336303710938
2746.5,653.9989624023438
2747.5,653.9482421875
2748.5,653.9021606445312
2749.5,653.8554077148438
2750.5,653.8310546875
2751.5,653.7941284179688
2752.5,653.7750854492188
2753.5,653.7328491210938
2754.5,653.6875610351562
2755.5,653.642578125
2756.5,653.6097412109375
2757.5,653.5715942382812
2758.5,653.552734375
2759.5,653.5166015625
2760.5,653.4848022460938
2761.5,653.4300537109375
2762.5,653.3972778320312
2763.5,653.364013671875
2764.5,653.34716796875
2765.5,653.3152465820312
2766.5,653.283447265625
2767.5,653.2416381835938
2768.5,653.2115478515625
2769.5,653.16259765625
2770.5,653.13623046875
2771.5,653.0980834960938
2772.5,653.0628662109375
2773.5,653.0244750976562
2774.5,652.9801635742188
2775.5,652.9495849609375
2776.5,652.9193115234375
2777.5,652.9014892578125
2778.5,652.8561401367188
2779.5,652.8206787109375
2780.5,652.777587890625
2781.5,652.733642578125
2782.5,652.696533203125
2783.5,652.6647338867188
2784.5,652.6250610351562
2785.5,652.5926513671875
2786.5,652.557373046875
2787.5,652.519287109375
2788.5,652.4856567382812
2789.5,652.4536743164062
2790.5,652.4131469726562
2791.5,652.3746337890625
2792.5,652.3375854492188
2793.5,652.30126953125
2794.5,652.27294921875
2795.5,652.2373657226562
2796.5,652.1885986328125
2797.5,652.14990234375
2798.5,652.11474609375
2799.5,652.0748901367188
2800.5,652.0364990234375
2801.5,652.0027465820312
2802.5,651.964111328125
2803.5,651.9323120117188
2804.5,651.896728515625
2805.5,651.8592529296875
2806.5,651.8165893554688
2807.5,651.7848510742188
2808.5,651.7462158203125
2809.5,651.712890625
2810.5,651.678466796875
2811.5,651.6442260742188
2812.5,651.6112670898438
2813.5,651.5687255859375
2814.5,651.5281982421875
2815.5,651.500244140625
2816.5,651.466064453125
2817.5,651.4268188476562
2818.5,651.3810424804688
2819.5,651.3430786132812
2820.5,651.3091430664062
2821.5,651.2700805664062
2822.5,651.2423706054688
2823.5,651.19775390625
2824.5,651.155029296875
2825.5,651.12451171875
2826.5,651.087158203125
2827.5,651.0571899414062
2828.5,651.0193481445312
2829.5,650.98486328125
2830.5,650.9508666992188
2831.5,650.9154052734375
2832.5,650.8755493164062
2833.5,650.834228515625
2834.5,650.8035888671875
2835.5,650.7760009765625
2836.5,650.743896484375
2837.5,650.7155151367188
2838.5,650.6773681640625
2839.5,650.6420288085938
2840.5,650.6162109375
2841.5,650.5969848632812
2842.5,650.5806274414062
2843.5,650.554443359375
2844.5,650.5133056640625
2845.5,650.48095703125
2846.5,650.453125
2847.5,650.4354858398438
2848.5,650.41015625
2849.5,650.38916015625
