Time (year),tas (K)
2339.5,288.5855712890625
2340.5,288.5847473144531
2341.5,288.5853576660156
2342.5,288.5880126953125
2343.5,288.59185791015625
2344.5,288.59515380859375
2345.5,288.595703125
2346.5,288.59527587890625
2347.5,288.5935363769531
2348.5,288.59234619140625
2349.5,288.59307861328125
2350.5,288.5944519042969
2351.5,288.5935363769531
2352.5,288.5919189453125
2353.5,288.58978271484375
2354.5,288.587646484375
2355.5,288.588134765625
2356.5,288.59075927734375
2357.5,288.5937194824219
2358.5,288.5957946777344
2359.5,288.5979919433594
2360.5,288.59832763671875
2361.5,288.59942626953125
2362.5,288.5999755859375
2363.5,288.5989685058594
2364.5,288.5953369140625
2365.5,288.592529296875
2366.5,288.59112548828125
2367.5,288.5911865234375
2368.5,288.5921630859375
2369.5,288.5920715332031
2370.5,288.5906677246094
2371.5,288.5905456542969
2372.5,288.592041015625
2373.5,288.595703125
2374.5,288.60028076171875
2375.5,288.603515625
2376.5,288.6046447753906
2377.5,288.6044921875
2378.5,288.6015625
2379.5,288.5987243652344
2380.5,288.5983581542969
2381.5,288.59906005859375
2382.5,288.5975341796875
2383.5,288.5963134765625
2384.5,288.594970703125
2385.5,288.5953369140625
2386.5,288.5987548828125
2387.5,288.6024169921875
2388.5,288.6074523925781
2389.5,288.6092834472656
2390.5,288.60589599609375
2391.5,288.6034240722656
2392.5,288.600830078125
2393.5,288.60009765625
2394.5,288.6002197265625
2395.5,288.6002502441406
2396.5,288.59954833984375
2397.5,288.5967712402344
2398.5,288.5946960449219
2399.5,288.5958251953125
2400.5,288.5985107421875
2401.5,288.60308837890625
2402.5,288.60565185546875
2403.5,288.6048889160156
2404.5,288.6039733886719
2405.5,288.6019592285156
2406.5,288.6014709472656
2407.5,288.6043395996094
2408.5,288.6077575683594
2409.5,288.608642578125
2410.5,288.60693359375
2411.5,288.60235595703125
2412.5,288.601806640625
2413.5,288.60406494140625
2414.5,288.6074523925781
2415.5,288.6104736328125
2416.5,288.6125183105469
2417.5,288.611328125
2418.5,288.6097106933594
2419.5,288.6069641113281
2420.5,288.60394287109375
2421.5,288.60650634765625
2422.5,288.6065673828125
2423.5,288.605224609375
2424.5,288.60205078125
2425.5,288.59954833984375
2426.5,288.59906005859375
2427.5,288.5997619628906
2428.5,288.603759765625
2429.5,288.6063537597656
2430.5,288.60516357421875
2431.5,288.60443115234375
2432.5,288.60137939453125
2433.5,288.60089111328125
2434.5,288.60272216796875
2435.5,288.6064453125
2436.5,288.607177734375
2437.5,288.60699462890625
2438.5,288.6048889160156
2439.5,288.6037292480469
2440.5,288.60382080078125
2441.5,288.60736083984375
2442.5,288.6099853515625
2443.5,288.61163330078125
2444.5,288.6103515625
2445.5,288.60845947265625
2446.5,288.60748291015625
2447.5,288.6072692871094
2448.5,288.6092834472656
2449.5,288.6099853515625
2450.5,288.61029052734375
2451.5,288.61004638671875
2452.5,288.61083984375
2453.5,288.6122131347656
2454.5,288.6145324707031
2455.5,288.6148376464844
2456.5,288.614990234375
2457.5,288.6143798828125
2458.5,288.6147155761719
2459.5,288.6155090332031
2460.5,288.61328125
2461.5,288.6120910644531
2462.5,288.61004638671875
2463.5,288.6093444824219
2464.5,288.6095886230469
2465.5,288.6101379394531
2466.5,288.6082458496094
2467.5,288.6053161621094
2468.5,288.6024475097656
2469.5,288.60260009765625
2470.5,288.6048278808594
2471.5,288.6085205078125
2472.5,288.610107421875
2473.5,288.610595703125
2474.5,288.6120300292969
2475.5,288.6127014160156
2476.5,288.6125793457031
2477.5,288.6162414550781
2478.5,288.6171569824219
2479.5,288.61859130859375
2480.5,288.6180419921875
2481.5,288.61517333984375
2482.5,288.6148681640625
2483.5,288.6156921386719
2484.5,288.6187744140625
2485.5,288.6200866699219
2486.5,288.62164306640625
2487.5,288.623046875
2488.5,288.621826171875
2489.5,288.62420654296875
2490.5,288.6278381347656
2491.5,288.628662109375
2492.5,288.6297302246094
2493.5,288.6275939941406
2494.5,288.62689208984375
2495.5,288.6247253417969
2496.5,288.62139892578125
2497.5,288.61981201171875
2498.5,288.61767578125
2499.5,288.6147155761719
2500.5,288.6138610839844
2501.5,288.6122131347656
2502.5,288.61187744140625
2503.5,288.6105651855469
2504.5,288.61041259765625
2505.5,288.6128234863281
2506.5,288.6156005859375
2507.5,288.6183166503906
2508.5,288.61602783203125
2509.5,288.6148376464844
2510.5,288.6114807128906
2511.5,288.6097717285156
2512.5,288.6087646484375
2513.5,288.6098937988281
2514.5,288.60943603515625
2515.5,288.6064453125
2516.5,288.6025695800781
2517.5,288.6020812988281
2518.5,288.60369873046875
2519.5,288.60418701171875
2520.5,288.60479736328125
2521.5,288.6097412109375
2522.5,288.61285400390625
2523.5,288.6107482910156
2524.5,288.6091003417969
2525.5,288.6091003417969
2526.5,288.60955810546875
2527.5,288.6108703613281
2528.5,288.6097106933594
2529.5,288.6107482910156
